customer_id,recency_days,frequency,monetary_value,avg_order_value,days_since_signup,total_orders,support_tickets,age,churned
1,156,9,6800.38,759.81,596,9,0,18,1
2,66,14,792.94,94.69,393,7,0,29,0
3,97,3,1005.08,285.39,367,3,0,37,1
4,1,11,2844.91,404.44,367,6,0,38,0
5,19,5,1749.75,136.75,1084,12,2,18,1
6,100,9,2719.7,225.21,700,11,3,57,0
7,48,14,1782.76,238.27,309,7,1,38,1
8,59,12,728.11,51.11,613,12,0,40,0
9,134,5,764.85,145.63,508,4,0,46,1
10,76,11,272.36,151.38,78,1,2,28,1
11,34,14,577.58,110.57,198,4,0,46,0
12,294,5,972.6,129.65,532,6,0,34,1
13,17,14,879.02,43.86,1023,16,0,26,0
14,34,4,1087.12,381.34,370,2,1,48,0
15,66,16,4316.02,641.6,292,5,0,62,0
16,18,11,1815.41,263.58,466,7,0,50,0
17,31,13,274.7,41.4,279,6,0,53,0
18,85,9,824.71,102.08,353,6,0,32,0
19,32,6,805.41,205.25,429,3,0,18,0
20,4,9,3730.92,1161.48,190,2,0,62,0
21,66,5,905.32,107.4,723,8,0,70,1
22,77,20,2091.07,507.6,164,3,1,63,0
23,96,10,513.08,209.88,148,2,0,34,1
24,56,17,917.86,86.34,493,12,1,22,0
25,114,6,3629.99,214.91,689,15,1,24,0
26,10,22,1564.65,96.39,485,15,1,18,0
27,104,6,512.28,110.62,400,4,3,38,1
28,3,12,1802.19,242.63,350,6,0,64,0
29,75,18,2171.12,204.93,311,9,0,37,0
30,3,11,3993.15,225.25,824,14,4,44,1
31,119,5,1760.85,189.4,535,7,1,60,1
32,190,1,407.68,221.35,329,1,0,33,1
33,149,3,757.62,383.17,263,1,1,70,1
34,28,12,319.95,37.29,639,7,0,69,1
35,311,3,787.54,120.66,813,6,1,38,1
36,43,16,3255.44,108.41,769,23,0,31,0
37,26,18,880.39,143.08,230,5,3,50,1
38,63,9,857.53,122.8,348,6,0,34,1
39,30,4,1614.64,355.95,307,3,0,22,0
40,10,20,6384.42,677.88,380,9,1,59,0
41,12,11,1574.56,143.49,719,11,0,58,0
42,14,6,1463.0,185.43,967,7,2,42,0
43,17,13,2104.22,179.53,548,10,1,21,0
44,150,11,1679.88,256.94,269,5,1,21,0
45,33,14,339.13,56.44,422,5,2,41,1
46,0,10,1765.94,68.16,1076,23,0,32,0
47,27,7,823.4,119.16,459,6,0,34,1
48,365,2,568.38,209.84,351,2,0,55,1
49,89,12,1757.74,471.07,371,3,1,50,1
50,47,12,3649.83,507.76,547,6,0,60,0
51,10,5,2468.22,860.08,236,2,0,25,0
52,41,12,1158.32,193.65,301,5,2,34,0
53,68,12,1701.07,135.2,762,12,2,51,0
54,164,13,759.4,96.84,537,7,1,46,1
55,43,14,123.84,18.89,462,7,0,62,0
56,53,12,4942.47,321.21,785,15,2,46,0
57,56,12,349.07,78.43,257,4,2,67,0
58,242,5,856.7,150.19,343,4,0,48,1
59,27,12,679.06,73.61,526,9,0,55,0
60,107,19,1424.9,81.27,514,16,1,35,1
61,43,7,749.22,391.47,135,1,1,40,1
62,108,5,2977.69,602.92,320,4,0,53,0
63,43,13,500.39,31.98,387,9,0,64,1
64,59,9,742.3,98.31,563,8,3,50,1
65,29,8,1633.64,156.28,513,8,0,38,0
66,37,11,1139.97,144.15,411,6,1,60,1
67,34,23,1635.68,525.53,78,2,0,18,0
68,64,11,595.73,91.47,425,5,3,18,1
69,31,12,421.7,55.71,451,6,1,50,0
70,141,6,1766.64,85.79,1500,20,0,40,0
